n_estimators,learning_rate,max_depth,colsample_bytree,f1,accuracy,auc
100,0.05,4,0,0.3830953989890308,0.7418731315156641,0.7703057552057617
500,0.05,4,0,0.5497814342092809,0.7642741522812954,0.7760607083884552
100,0.05,4,0,0.38642203086424043,0.7422734250617331,0.7696124896567117
500,0.05,4,0,0.5236170115343489,0.7609466955655746,0.7743245638115628
100,0.05,8,0,0.36645722206872555,0.7355251123345362,0.7626784672924802
500,0.05,8,0,0.5051329231184664,0.7550916287154891,0.7653423589133779
100,0.05,8,0.5,0.5995070444260763,0.7833791690519658,0.803643901326302
500,0.05,8,0.5,0.5997083605620166,0.7839646282683346,0.8031005811575934
100,0.05,16,0.5,0.5866367958133873,0.7790650671633784,0.7978798045853213
500,0.05,16,0.5,0.5887283056494862,0.7793424359197096,0.7970855498478397
100,0.05,16,0.5,0.5880700242413945,0.77949656659328,0.7983876266586554
500,0.05,16,0.5,0.5899770923436767,0.7808521475287352,0.798109354526149
100,0.005,4,0,0.0,0.6860074506777096,0.7597666856199232
500,0.005,4,0,0.10939284762831476,0.7008598184609338,0.7632865460576045
100,0.005,4,0,0.0,0.6860074506777096,0.7595570416247291
500,0.005,4,0,0.11047421026899149,0.7011062186766311,0.7633568366843553
100,0.005,8,0,0.000392156862745098,0.6860690744659539,0.7527094190427871
500,0.005,8,0,0.12150957133839028,0.7021848390860578,0.7578694312554038
100,0.005,8,0.5,0.5790067159839802,0.7774317851911136,0.7950697076384503
500,0.005,8,0.5,0.5959598950060971,0.7828860458338198,0.8012306186772227
100,0.005,16,0.5,0.5758842124483471,0.7775552131484333,0.7962261375525064
500,0.005,16,0.5,0.587700773761046,0.7799896708239702,0.80079455454007
100,0.005,16,0.5,0.5772837256223688,0.7777400655257105,0.7957728422345964
500,0.005,16,0.5,0.5889394016063796,0.7808524323405742,0.8012693690501627
