n_estimators,learning_rate,max_depth,colsample_bytree,f1,accuracy,auc
100,0.05,4,0,0.41977351255463907,0.7408146630819783,0.7862331604584224
500,0.05,4,0,0.5914358540465068,0.7685260491226437,0.7987763901182647
100,0.05,4,0,0.41977351255463907,0.7408146630819783,0.7862331604584224
500,0.05,4,0,0.5914358540465068,0.7685260491226437,0.7987763901182647
100,0.05,8,0,0.30668224026382185,0.7165278181895773,0.7723085654830611
500,0.05,8,0,0.3610961528013093,0.725744928480814,0.775579496266495
100,0.05,8,0.5,0.6325151025608369,0.7858381148574465,0.8232728041214831
500,0.05,8,0.5,0.6327326086226457,0.7859627642446744,0.8232819438643683
100,0.05,16,0.5,0.6192074138335599,0.7794238505914348,0.8168072614443845
500,0.05,16,0.5,0.6192074138335599,0.7794238505914348,0.8168072614443845
100,0.05,16,0.5,0.6192074138335599,0.7794238505914348,0.8168072614443845
500,0.05,16,0.5,0.6192074138335599,0.7794238505914348,0.8168072614443845
