model_id,rank,ensemble_weight,type,cost,duration,config_id,train_loss,seed,start_time,end_time,budget,status,data_preprocessors,feature_preprocessors,balancing_strategy,config_origin
2140,1,0.24,gradient_boosting,0.3426812585499316,111.36887574195862,2139,0.21156546881453941,0,1674398410.1164455,1674398521.5168512,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
2230,2,0.02,gradient_boosting,0.34348272322955864,113.75555634498596,2229,0.22001654259718773,0,1674399374.0649796,1674399487.9787579,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
1997,3,0.12,gradient_boosting,0.3437285812200137,119.79399132728577,1996,0.21727596783553016,0,1674397002.1892595,1674397122.0736134,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
2315,4,0.02,gradient_boosting,0.3438735177865613,108.57264137268066,2314,0.21471172962226637,0,1674400201.808116,1674400310.4154315,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
2328,5,0.02,gradient_boosting,0.343878954607978,116.71193146705627,2327,0.21986051145798735,0,1674400343.237297,1674400460.0438707,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
2123,6,0.02,gradient_boosting,0.3441669517618885,110.77987885475159,2122,0.23856100795755975,0,1674398230.8826213,1674398341.7514741,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
1801,7,0.34,gradient_boosting,0.344222833562586,109.63811254501343,1800,0.16106832705226948,0,1674395094.3125608,1674395203.9783998,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
2159,8,0.02,gradient_boosting,0.3444576877234804,116.32929968833923,2158,0.22413793103448276,0,1674398657.8947117,1674398774.4536886,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
2136,9,0.02,gradient_boosting,0.3445205479452055,110.43862962722778,2135,0.21734094481674526,0,1674398374.8479893,1674398485.3870254,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
2243,10,0.06,gradient_boosting,0.34453205347960236,117.37172198295593,2242,0.20205111239765117,0,1674399483.0784545,1674399600.6148016,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
2006,11,0.02,gradient_boosting,0.34459805427547363,105.57924580574036,2005,0.2362427265170407,0,1674397097.4431956,1674397203.0970156,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
1731,12,0.06,gradient_boosting,0.34462117325123987,112.85488629341125,1730,0.2369184841197446,0,1674394447.7274618,1674394560.6693108,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
1848,13,0.02,gradient_boosting,0.34463276836158196,114.96652173995972,1847,0.2266578139264669,0,1674395492.217623,1674395607.2175796,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
963,14,0.02,gradient_boosting,0.3447098976109215,115.42965579032898,962,0.24020217085094042,0,1674387898.0606947,1674388013.57691,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
