         2012433 function calls in 2.385 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50046    0.655    0.000    1.884    0.000 {function KDTree.query at 0x125f45c60}
    50518    0.198    0.000    0.198    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   201128    0.173    0.000    1.040    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   150374    0.154    0.000    0.154    0.000 {built-in method numpy.asarray}
   100092    0.152    0.000    0.305    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:38(_wrapit)
    50078    0.114    0.000    0.114    0.000 {method 'extend' of 'list' objects}
      229    0.112    0.000    2.291    0.010 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/lung-tumour-study/utils/postprocessing.py:9(get_N_closest_pairs_dists)
   100092    0.110    0.000    0.429    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
    50046    0.092    0.000    2.049    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/scipy/spatial/_kdtree.py:346(query)
    50518    0.080    0.000    0.314    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
   100092    0.063    0.000    0.063    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   100092    0.061    0.000    0.680    0.000 <__array_function__ internals>:177(reshape)
    50060    0.054    0.000    0.054    0.000 {method 'sort' of 'list' objects}
    50282    0.053    0.000    0.364    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2677(amax)
   100092    0.052    0.000    0.481    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:198(reshape)
    50046    0.035    0.000    0.087    0.000 <__array_function__ internals>:177(shape)
    50282    0.033    0.000    0.432    0.000 <__array_function__ internals>:177(amax)
   200184    0.030    0.000    0.030    0.000 {built-in method builtins.getattr}
    50518    0.029    0.000    0.029    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
    50046    0.025    0.000    0.035    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/numeric.py:1873(isscalar)
   100094    0.023    0.000    0.023    0.000 {built-in method builtins.isinstance}
